,sentence,neg_antonym,inference1,inference2,longerThan20,containSquare,neg_antonym_acceptable
378,I hope you two are careful about security living in that isolated spot,I hope you two are [not careless] about security living in that isolated spot,I hope you two are [slightly careful] about security living in that isolated spot,I hope you two are [damn well careful] about security living in that isolated spot,0,1,acceptable
379,Without this provision there is likely to be a disastrous failure of communication,Without this provision there is [not improbable] to be a disastrous failure of communication,Without this provision there is [slightly likely] to be a disastrous failure of communication,Without this provision there is [damn well likely] to be a disastrous failure of communication,0,1,acceptable
380,The offer must be specific,The offer must be [not general],The offer must be [slightly specific],The offer must be [damn well specific],0,1,acceptable
381,It was easy to imagine the sparkle in Sophie 's eyes as she snapped up this morsel,It was [not difficult] to imagine the sparkle in Sophie 's eyes as she snapped up this morsel,It was [slightly easy] to imagine the sparkle in Sophie 's eyes as she snapped up this morsel,It was [damn well easy] to imagine the sparkle in Sophie 's eyes as she snapped up this morsel,0,1,acceptable
382,It was true,It was [not false],It was [slightly true],It was [damn well true],0,1,acceptable
383,I always believed you were innocent,I always believed you were [not guilty],I always believed you were [slightly innocent],I always believed you were [damn well innocent],0,1,acceptable
384,Particularly in multi-discipline products the number of such departments may be large,Particularly in multi-discipline products the number of such departments may be [not small],Particularly in multi-discipline products the number of such departments may be [slightly large],Particularly in multi-discipline products the number of such departments may be [damn well large],0,1,acceptable
385,Progress reports on the project can therefore be unambiguous and brief,Progress reports on the project can therefore be [not equivocal] and brief,Progress reports on the project can therefore be [slightly unambiguous] and brief,Progress reports on the project can therefore be [damn well unambiguous] and brief,0,1,acceptable
386,This may be insufficient for newcomers to the company,This may be [not sufficient] for newcomers to the company,This may be [slightly insufficient] for newcomers to the company,This may be [damn well insufficient] for newcomers to the company,0,1,acceptable
387,Some guidance in analysing these potential situations is available via transactional analysis described in Chapter 11,Some guidance in analysing these potential situations is [not unavailable] via transactional analysis described in Chapter 11,Some guidance in analysing these potential situations is [slightly available] via transactional analysis described in Chapter 11,Some guidance in analysing these potential situations is [damn well available] via transactional analysis described in Chapter 11,0,1,acceptable
388,Although the diagram is simple and highly repetitive few will get it completely correct,Although the diagram is [not compound] and highly repetitive few will get it completely correct,Although the diagram is [slightly simple] and highly repetitive few will get it completely correct,Although the diagram is [damn well simple] and highly repetitive few will get it completely correct,0,1,acceptable
389,It is adequate because there are no unknowns in the situation,It is [not inadequate] because there are no unknowns in the situation,It is [slightly adequate] because there are no unknowns in the situation,It is [damn well adequate] because there are no unknowns in the situation,0,1,acceptable
390,Information only exists to the extent to which it is accessible,Information only exists to the extent to which it is [not inaccessible],Information only exists to the extent to which it is [slightly accessible],Information only exists to the extent to which it is [damn well accessible],0,1,acceptable
391,The reactions of people to any given stimulus are so individual however that generalizations are dangerous,The reactions of people to any given stimulus are so individual however that generalizations are [not safe],The reactions of people to any given stimulus are so individual however that generalizations are [slightly dangerous],The reactions of people to any given stimulus are so individual however that generalizations are [damn well dangerous],0,1,acceptable
392,Some of these programmes have been successful and some have not,Some of these programmes have been [not unsuccessful] and some have not,Some of these programmes have been [slightly successful] and some have not,Some of these programmes have been [damn well successful] and some have not,0,1,acceptable
393,They are bad when these conditions are not present,They are [not unregretful] when these conditions are not present,They are [slightly bad] when these conditions are not present,They are [damn well bad] when these conditions are not present,0,1,acceptable
394,It is poorly structured when any of these features is absent,It is poorly structured when any of these features is [not present],It is poorly structured when any of these features is [slightly absent],It is poorly structured when any of these features is [damn well absent],0,1,acceptable
395,The price was high in relation to orthodox equipment but was held to be justified by patient throughput,The price was [not low] in relation to orthodox equipment but was held to be justified by patient throughput,The price was [slightly high] in relation to orthodox equipment but was held to be justified by patient throughput,The price was [damn well high] in relation to orthodox equipment but was held to be justified by patient throughput,0,1,acceptable
396,The economic benefits were held to be significant,The economic benefits were held to be [not nonsignificant],The economic benefits were held to be [slightly significant],The economic benefits were held to be [damn well significant],0,1,acceptable
397,Several suits were filed and litigation costs in the USA are high,Several suits were filed and litigation costs in the USA are [not low],Several suits were filed and litigation costs in the USA are [slightly high],Several suits were filed and litigation costs in the USA are [damn well high],0,1,acceptable
398,Unfortunately the music electronics contribution hit a slump at the critical time and was unable to meet expectations,Unfortunately the music electronics contribution hit a slump at the critical time and was [not able] to meet expectations,Unfortunately the music electronics contribution hit a slump at the critical time and was [slightly unable] to meet expectations,Unfortunately the music electronics contribution hit a slump at the critical time and was [damn well unable] to meet expectations,0,1,acceptable
399,This form of discontinuity will be familiar to engineers,This form of discontinuity will be [not unfamiliar] to engineers,This form of discontinuity will be [slightly familiar] to engineers,This form of discontinuity will be [damn well familiar] to engineers,0,1,acceptable
400,He may be eager to make use of them,He may be [not uneager] to make use of them,He may be [slightly eager] to make use of them,He may be [damn well eager] to make use of them,0,1,acceptable
401,This is stable but suboptimal,This is [not unstable] but suboptimal,This is [slightly stable] but suboptimal,This is [damn well stable] but suboptimal,0,1,acceptable
